Season,No.,Team,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
1984,0,BOS,Robert Parish,C,7-1,230,"August 30, 1953",us,7,Centenary (LA)
1984,8,BOS,Scott Wedman,SF,6-7,215,"July 29, 1952",us,9,Colorado
1984,54,CHI,Wallace Bryant,C,7-0,245,"July 14, 1959",es,R,San Francisco
1984,40,CHI,Dave Corzine,C,6-11,250,"April 25, 1956",us,5,DePaul
1984,44,CHI,Quintin Dailey,SG,6-3,180,"January 22, 1961",us,1,San Francisco
1984,21,CHI,Sidney Green,PF,6-9,220,"January 4, 1961",us,R,UNLV
1984,34,CHI,Dave Greenwood,PF,6-9,222,"May 27, 1957",us,4,UCLA
1984,22,CHI,Rod Higgins,SF,6-7,200,"January 31, 1960",us,1,Fresno State
1984,32,CHI,Steve Johnson,C,6-10,235,"November 3, 1957",us,2,Oregon State
1984,12,CHI,Ronnie Lester,PG,6-2,175,"January 1, 1959",us,3,Iowa
1984,33,CHI,Jawann Oldham,C,7-0,215,"July 4, 1957",us,3,Seattle University
1984,24,CHI,Reggie Theus,PG,6-6,190,"October 13, 1957",us,5,UNLV
1984,3,CHI,Ennis Whatley,PG,6-3,177,"August 11, 1962",us,R,Alabama
1984,15,CHI,Mitchell Wiggins,SG,6-4,185,"September 28, 1959",us,R,"Clemson, Florida State"
1984,0,CHI,Orlando Woolridge,SF,6-9,215,"December 16, 1959",us,2,Notre Dame
1984,5,CLE,John Bagley,PG,6-0,185,"April 23, 1960",us,1,Boston College
1984,45,CLE,Jeff Cook,C,6-10,215,"October 21, 1956",us,4,Idaho State University
1984,41,CLE,Geoff Crompton,C,6-11,280,"July 4, 1955",us,4,UNC
1984,21,CLE,World B. Free,SG,6-2,185,"December 9, 1953",us,8,Guilford College
1984,55,CLE,John Garris,PF,6-8,205,"June 6, 1959",us,R,"Michigan, Boston College"
1984,10,CLE,Stewart Granger,PG,6-3,190,"October 27, 1961",ca,R,Villanova
1984,32,CLE,Roy Hinson,SF,6-9,210,"May 2, 1961",us,R,Rutgers University
1984,35,CLE,Phil Hubbard,SF,6-8,215,"December 13, 1956",us,4,Michigan
1984,20,CLE,Geoff Huston,PG,6-2,175,"November 8, 1957",us,4,Texas Tech
1984,50,CLE,Ben Poquette,PF,6-9,235,"May 7, 1955",us,6,Central Michigan University
1984,11,CLE,Cliff Robinson,C,6-9,220,"March 13, 1960",us,4,USC
1984,8,CLE,Lonnie Shelton,PF,6-8,240,"October 19, 1955",us,7,Oregon State
1984,33,CLE,Paul Thompson,SF,6-6,210,"May 25, 1961",us,R,Tulane
1984,34,DET,Ken Austin,SF,6-9,205,"July 15, 1961",us,R,Rice University
1984,54,DET,Kent Benson,C,6-10,235,"December 27, 1954",us,6,Indiana
1984,23,DET,Earl Cureton,C,6-9,210,"September 3, 1957",us,3,"Robert Morris University (PA), Detroit Mercy"
1984,9,DET,Lionel Hollins,PG,6-3,185,"October 19, 1953",us,8,Arizona State
1984,15,DET,Vinnie Johnson,SG,6-2,200,"September 1, 1956",us,4,Baylor
1984,40,DET,Bill Laimbeer,C,6-11,245,"May 19, 1957",us,3,Notre Dame
1984,53,DET,Cliff Levingston,PF,6-8,210,"January 4, 1961",us,1,Wichita State
1984,25,DET,John Long,SG,6-5,195,"August 28, 1956",us,5,Detroit Mercy
1984,33,DET,Walker Russell,PG,6-5,195,"October 26, 1960",us,1,"Houston, Western Michigan"
1984,22,DET,David Thirdkill,SF,6-7,195,"April 12, 1960",us,1,Bradley
1984,11,DET,Isiah Thomas,PG,6-1,180,"April 30, 1961",us,2,Indiana
1984,24,DET,Ray Tolbert,PF,6-9,225,"September 10, 1958",us,2,Indiana
1984,7,DET,Kelly Tripucka,SF,6-6,220,"February 16, 1959",us,2,Notre Dame
1984,41,DET,Terry Tyler,SF,6-7,215,"October 30, 1956",us,5,Detroit Mercy
1984,23,GSW,Mike Bratz,PG,6-2,185,"October 17, 1955",us,6,Stanford
1984,17,GSW,Ron Brewer,SG,6-4,180,"July 16, 1955",us,5,Arkansas
1984,2,GSW,Joe Barry Carroll,C,7-0,225,"July 24, 1958",us,3,Purdue
1984,18,GSW,Don Collins,SG,6-6,190,"November 28, 1958",us,3,Washington State
1984,15,GSW,Lester Conner,SG,6-4,180,"September 17, 1959",us,1,Oregon State
1984,40,GSW,Russell Cross,C,6-10,215,"September 5, 1961",us,R,Purdue
1984,55,GSW,Chris Engler,C,6-11,245,"March 1, 1959",us,1,"Minnesota, Wyoming"
1984,21,GSW,Sleepy Floyd,PG,6-3,170,"March 6, 1960",us,1,Georgetown
1984,43,GSW,Mickey Johnson,PF,6-10,190,"August 31, 1952",us,9,Aurora University
1984,20,GSW,Pace Mannion,SF,6-7,190,"September 22, 1960",us,R,Utah
1984,18,GSW,Lorenzo Romar,PG,6-1,175,"November 13, 1958",us,3,Washington
1984,45,GSW,Purvis Short,SF,6-7,210,"July 2, 1957",us,5,Jackson State University
1984,13,GSW,Larry Smith,PF,6-8,215,"January 18, 1958",us,3,Alcorn State
1984,22,GSW,Darren Tillis,C,6-11,215,"February 23, 1960",us,1,Cleveland State University
1984,33,GSW,Sam Williams,PF,6-8,210,"March 7, 1959",us,2,Arizona State
1984,2,HOU,James Bailey,PF,6-9,220,"May 21, 1957",us,4,Rutgers University
1984,3,HOU,Craig Ehlo,SG,6-6,180,"August 11, 1961",us,R,"Odessa College, Washington State"
1984,1,HOU,Phil Ford,PG,6-2,175,"February 9, 1956",us,5,UNC
1984,44,HOU,Elvin Hayes,PF,6-9,235,"November 17, 1945",us,15,Houston
1984,27,HOU,Caldwell Jones,C,6-11,217,"August 4, 1950",us,10,Albany State University
1984,11,HOU,Major Jones,PF,6-9,225,"July 9, 1953",us,4,Albany State University
1984,30,HOU,Allen Leavell,PG,6-1,170,"May 27, 1957",us,4,Oklahoma City University
1984,32,HOU,Lewis Lloyd,SG,6-6,205,"February 22, 1959",us,2,Drake University
1984,22,HOU,Rodney McCray,SF,6-7,220,"August 29, 1961",us,R,Louisville
1984,33,HOU,Robert Reid,SF,6-8,205,"August 30, 1955",us,5,St. Mary's University
1984,50,HOU,Ralph Sampson,C,7-4,228,"July 7, 1960",us,R,Virginia
1984,20,HOU,Terry Teagle,SG,6-5,195,"April 10, 1960",us,1,Baylor
1984,42,HOU,Wally Walker,SF,6-7,190,"July 18, 1954",us,7,Virginia
1984,33,LAL,Kareem Abdul-Jabbar,C,7-2,225,"April 16, 1947",us,14,UCLA
1984,21,LAL,Michael Cooper,SG,6-7,170,"April 15, 1956",us,5,New Mexico
1984,0,LAL,Calvin Garrett,SF,6-7,190,"July 11, 1956",us,3,"Austin Peay State University, Oral Roberts"
1984,32,LAL,Magic Johnson,PG,6-9,215,"August 14, 1959",us,4,Michigan State
1984,15,LAL,Eddie Jordan,PG,6-1,170,"January 29, 1955",us,6,Rutgers University
1984,25,LAL,Mitch Kupchak,PF,6-9,230,"May 24, 1954",us,6,UNC
1984,11,LAL,Bob McAdoo,C,6-9,210,"September 25, 1951",us,11,"Vincennes University, UNC"
1984,40,LAL,Mike McGee,SF,6-5,190,"July 29, 1959",us,2,Michigan
1984,41,LAL,Swen Nater,C,6-11,240,"January 14, 1950",nl,10,"Cypress College, UCLA"
1984,31,LAL,Kurt Rambis,PF,6-8,213,"February 25, 1958",us,2,Santa Clara
1984,4,LAL,Byron Scott,SG,6-3,195,"March 28, 1961",us,R,Arizona State
1984,35,LAL,Larry Spriggs,SF,6-7,230,"September 8, 1959",us,2,Howard University
1984,52,LAL,Jamaal Wilkes,SF,6-6,190,"May 2, 1953",us,9,UCLA
1984,42,LAL,James Worthy,PF,6-9,225,"February 27, 1961",us,1,UNC
1984,7,MIL,Tiny Archibald,PG,6-1,150,"September 2, 1948",us,12,Texas-El Paso
1984,45,MIL,Randy Breuer,C,7-3,230,"October 11, 1960",us,R,Minnesota
1984,2,MIL,Junior Bridgeman,SF,6-5,210,"September 17, 1953",us,8,Louisville
1984,42,MIL,Harvey Catchings,PF,6-9,218,"September 2, 1951",us,9,Hardin-Simmons University
1984,15,MIL,Charlie Criss,PG,5-8,165,"November 6, 1948",us,6,New Mexico State
1984,10,MIL,Mike Dunleavy,PG,6-3,180,"March 21, 1954",us,7,South Carolina
1984,35,MIL,Kevin Grevey,SG,6-5,210,"May 12, 1953",us,8,Kentucky
1984,8,MIL,Marques Johnson,SF,6-7,218,"February 8, 1956",us,6,UCLA
1984,16,MIL,Bob Lanier,C,6-11,250,"September 10, 1948",us,13,St. Bonaventure
1984,53,MIL,Alton Lister,PF,7-0,240,"October 1, 1958",us,2,Arizona State
1984,44,MIL,Paul Mokeski,C,7-0,250,"January 3, 1957",us,4,Kansas
1984,4,MIL,Sidney Moncrief,SG,6-4,180,"September 21, 1957",us,4,Arkansas
1984,25,MIL,Paul Pressey,SG,6-5,185,"December 24, 1958",us,1,"Western Texas College, Tulsa"
1984,5,MIL,Lorenzo Romar,PG,6-1,175,"November 13, 1958",us,3,Washington
1984,22,MIL,Linton Townes,SF,6-7,190,"November 30, 1959",us,1,James Madison University
1984,10,MIL,Rory White,SF,6-8,210,"August 16, 1959",us,1,University of South Alabama
1984,25,NYK,Bill Cartwright,C,7-1,245,"July 30, 1957",us,4,San Francisco
1984,44,NYK,Len Elmore,PF,6-9,220,"March 28, 1952",us,9,Maryland
1984,45,NYK,Eric Fernsten,PF,6-10,205,"November 1, 1953",us,5,San Francisco
1984,18,NYK,Ernie Grunfeld,SG,6-6,210,"April 24, 1955",ro,6,Tennessee
1984,30,NYK,Bernard King,SF,6-7,205,"December 4, 1956",us,6,Tennessee
1984,41,NYK,Rudy Macklin,SF,6-7,205,"February 19, 1958",us,2,LSU
1984,55,NYK,Louis Orr,SF,6-8,175,"May 7, 1958",us,3,Syracuse
1984,21,NYK,Truck Robinson,PF,6-7,225,"October 4, 1951",us,9,Tennessee State
1984,2,NYK,Rory Sparrow,PG,6-2,175,"June 12, 1958",us,3,Villanova
1984,6,NYK,Trent Tucker,SG,6-5,193,"December 20, 1959",us,1,Minnesota
1984,4,NYK,Darrell Walker,PG,6-4,180,"March 9, 1961",us,R,Arkansas
1984,40,NYK,Marvin Webster,C,7-1,225,"April 13, 1952",us,8,Morgan State University
1984,13,NYK,Ray Williams,SG,6-3,188,"October 14, 1954",us,6,Minnesota
1984,10,PHI,Maurice Cheeks,PG,6-1,180,"September 8, 1956",us,5,West Texas A&M University
1984,14,PHI,Franklin Edwards,PG,6-1,170,"February 2, 1959",us,2,Cleveland State University
1984,6,PHI,Julius Erving,SF,6-7,210,"February 22, 1950",us,12,UMass
1984,8,PHI,Marc Iavaroni,PF,6-8,210,"September 15, 1956",us,1,Virginia
1984,45,PHI,Clemon Johnson,C,6-10,240,"September 12, 1956",us,5,Florida A&M
1984,24,PHI,Bobby Jones,PF,6-9,210,"December 18, 1951",us,9,UNC
1984,23,PHI,Charles Jones,PF,6-9,215,"April 3, 1957",us,R,Albany State University
1984,23,PHI,Bruce Kuczenski,PF,6-10,230,"February 3, 1961",us,R,UConn
1984,2,PHI,Moses Malone,C,6-10,215,"March 23, 1955",us,9,
1984,1,PHI,Wes Matthews,PG,6-1,170,"August 24, 1959",us,3,Wisconsin
1984,11,PHI,Leo Rautins,SF,6-8,215,"March 20, 1960",ca,R,"Minnesota, Syracuse"
1984,4,PHI,Clint Richardson,SG,6-3,195,"August 7, 1956",us,4,Seattle University
1984,9,PHI,Sedale Threatt,PG,6-2,175,"September 10, 1961",us,R,West Virginia Tech
1984,22,PHI,Andrew Toney,SG,6-3,178,"November 23, 1957",us,3,Louisiana
1984,33,PHI,Sam Williams,PF,6-8,210,"March 7, 1959",us,2,Arizona State
1984,33,PHO,Alvan Adams,C,6-9,210,"July 19, 1954",us,8,Oklahoma
1984,6,PHO,Walter Davis,SG,6-6,193,"September 9, 1954",us,6,UNC
1984,53,PHO,James Edwards,C,7-0,225,"November 22, 1955",us,6,Washington
1984,10,PHO,Rod Foster,PG,6-1,160,"October 10, 1960",us,R,UCLA
1984,11,PHO,Johnny High,PG,6-3,185,"April 25, 1957",us,3,Nevada
1984,20,PHO,Maurice Lucas,PF,6-9,215,"February 18, 1952",us,9,Marquette
1984,4,PHO,Kyle Macy,PG,6-3,175,"April 9, 1957",us,3,"Purdue, Kentucky"
1984,22,PHO,Larry Nance,PF,6-10,205,"February 12, 1959",us,2,Clemson
1984,32,PHO,Charles Pittman,PF,6-8,220,"March 23, 1958",us,1,Maryland
1984,8,PHO,Rick Robey,C,6-11,230,"January 30, 1956",us,5,Kentucky
1984,7,PHO,Mike Sanders,SF,6-6,210,"May 7, 1960",us,1,UCLA
1984,14,PHO,Alvin Scott,SF,6-7,185,"September 14, 1955",us,6,Oral Roberts
1984,44,PHO,Paul Westphal,SG,6-4,195,"November 30, 1950",us,11,USC
1984,7,PHO,Rory White,SF,6-8,210,"August 16, 1959",us,1,University of South Alabama
1984,34,POR,Kenny Carr,PF,6-7,220,"August 15, 1955",us,6,NC State
1984,42,POR,Wayne Cooper,C,6-10,220,"November 16, 1956",us,5,New Orleans
1984,22,POR,Clyde Drexler,SG,6-7,210,"June 22, 1962",us,R,Houston
1984,5,POR,Eddie Jordan,PG,6-1,170,"January 29, 1955",us,6,Rutgers University
1984,3,POR,Jeff Lamp,SF,6-6,195,"March 9, 1959",us,2,Virginia
1984,12,POR,Fat Lever,PG,6-3,170,"August 18, 1960",us,1,Arizona State
1984,33,POR,Calvin Natt,SF,6-6,220,"January 8, 1957",us,4,Louisiana-Monroe
1984,24,POR,Audie Norris,C,6-9,230,"December 18, 1960",us,1,Jackson State University
1984,4,POR,Jim Paxson,SG,6-6,200,"July 9, 1957",us,4,Dayton
1984,54,POR,Tom Piotrowski,C,7-1,240,"October 17, 1960",us,R,La Salle
1984,43,POR,Mychal Thompson,C,6-10,226,"January 30, 1955",bs,4,Minnesota
1984,14,POR,Darnell Valentine,PG,6-1,183,"February 3, 1959",us,2,Kansas
1984,31,POR,Pete Verhoeven,PF,6-9,215,"February 15, 1959",us,2,Fresno State
1985,31,ATL,Rickey Brown,C,6-10,215,"August 20, 1958",us,4,Mississippi State
1985,33,ATL,Antoine Carr,PF,6-9,225,"July 23, 1961",us,R,Wichita State
1985,14,ATL,Charlie Criss,PG,5-8,165,"November 6, 1948",us,7,New Mexico State
1985,5,ATL,Jerry Eaves,PG,6-4,180,"February 8, 1959",us,2,Louisville
1985,34,ATL,Mike Glenn,SG,6-2,175,"September 10, 1955",us,7,Southern Illinois
1985,20,ATL,Stewart Granger,PG,6-3,190,"October 27, 1961",ca,1,Villanova
1985,44,ATL,Scott Hastings,PF,6-10,235,"June 3, 1960",us,2,Arkansas
1985,3,ATL,Eddie Johnson,SG,6-2,180,"February 24, 1955",us,7,Auburn
1985,53,ATL,Cliff Levingston,PF,6-8,210,"January 4, 1961",us,2,Wichita State
1985,43,ATL,Sidney Lowe,PG,6-0,195,"January 21, 1960",us,1,NC State
1985,7,ATL,Leo Rautins,SF,6-8,215,"March 20, 1960",ca,1,"Minnesota, Syracuse"
1985,25,ATL,Doc Rivers,PG,6-4,185,"October 13, 1961",us,1,Marquette
1985,30,ATL,Tree Rollins,C,7-1,235,"June 16, 1955",us,7,Clemson
1985,2,ATL,Walker Russell,PG,6-5,195,"October 26, 1960",us,2,"Houston, Western Michigan"
1985,21,ATL,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr,2,Georgia
1985,35,ATL,Sly Williams,SF,6-7,210,"January 26, 1958",us,5,Rhode Island
1985,42,ATL,Kevin Willis,PF,7-0,220,"September 6, 1962",us,R,Michigan State
1985,10,ATL,Randy Wittman,SG,6-6,210,"October 28, 1959",us,1,Indiana
1985,44,BOS,Danny Ainge,SG,6-5,185,"March 17, 1959",us,3,BYU
1985,33,BOS,Larry Bird,SF,6-9,220,"December 7, 1956",us,5,Indiana State University
1985,28,BOS,Quinn Buckner,PG,6-3,190,"August 20, 1954",us,8,Indiana
1985,34,BOS,Rick Carlisle,SG,6-5,210,"October 27, 1959",us,R,"University of Maine, Virginia"
1985,30,BOS,M.L. Carr,SF,6-6,205,"January 9, 1951",us,9,Guilford College
1985,40,BOS,Carlos Clark,SG,6-4,210,"August 10, 1960",us,1,Ole Miss
1985,3,BOS,Dennis Johnson,PG,6-4,185,"September 18, 1954",us,8,Pepperdine
1985,50,BOS,Greg Kite,C,6-11,250,"August 5, 1961",us,1,BYU
1985,31,BOS,Cedric Maxwell,SF,6-8,205,"November 21, 1955",us,7,UNC Charlotte
1985,32,BOS,Kevin McHale,PF,6-10,210,"December 19, 1957",us,4,Minnesota
1985,0,BOS,Robert Parish,C,7-1,230,"August 30, 1953",us,8,Centenary (LA)
1985,8,BOS,Scott Wedman,SF,6-7,215,"July 29, 1952",us,10,Colorado
1985,20,BOS,Ray Williams,PG,6-3,188,"October 14, 1954",us,7,Minnesota
1985,40,CHI,Dave Corzine,C,6-11,250,"April 25, 1956",us,6,DePaul
1985,44,CHI,Quintin Dailey,SG,6-3,180,"January 22, 1961",us,2,San Francisco
1985,34,CHI,Chris Engler,C,6-11,245,"March 1, 1959",us,2,"Minnesota, Wyoming"
1985,21,CHI,Sidney Green,PF,6-9,220,"January 4, 1961",us,1,UNLV
1985,10,CHI,Dave Greenwood,PF,6-9,222,"May 27, 1957",us,5,UCLA
1985,22,CHI,Rod Higgins,SF,6-7,200,"January 31, 1960",us,2,Fresno State
1985,32,CHI,Steve Johnson,C,6-10,235,"November 3, 1957",us,3,Oregon State
1985,39,CHI,Caldwell Jones,C,6-11,217,"August 4, 1950",us,11,Albany State University
1985,13,CHI,Charles Jones,PF,6-9,215,"April 3, 1957",us,1,Albany State University
1985,23,CHI,Michael Jordan,SG,6-6,198,"February 17, 1963",us,R,UNC
1985,1,CHI,Wes Matthews,PG,6-1,170,"August 24, 1959",us,4,Wisconsin
1985,33,CHI,Jawann Oldham,C,7-0,215,"July 4, 1957",us,4,Seattle University
1985,3,CHI,Ennis Whatley,PG,6-3,177,"August 11, 1962",us,1,Alabama
1985,0,CHI,Orlando Woolridge,SF,6-9,215,"December 16, 1959",us,3,Notre Dame
1985,25,CLE,Ron Anderson,SF,6-7,215,"October 15, 1958",us,R,Fresno State
1985,5,CLE,John Bagley,PG,6-0,185,"April 23, 1960",us,2,Boston College
1985,45,CLE,Jeff Cook,PF,6-10,215,"October 21, 1956",us,5,Idaho State University
1985,16,CLE,Johnny Davis,PG,6-2,170,"October 21, 1955",us,8,Dayton
1985,21,CLE,World B. Free,SG,6-2,185,"December 9, 1953",us,9,Guilford College
1985,10,CLE,Butch Graves,SG,6-3,200,"January 5, 1962",us,R,Yale
1985,32,CLE,Roy Hinson,PF,6-9,210,"May 2, 1961",us,1,Rutgers University
1985,35,CLE,Phil Hubbard,SF,6-8,215,"December 13, 1956",us,5,Michigan
1985,20,CLE,Geoff Huston,PG,6-2,175,"November 8, 1957",us,5,Texas Tech
1985,44,CLE,Edgar Jones,PF,6-10,225,"June 17, 1956",us,4,Nevada
1985,50,CLE,Ben Poquette,PF,6-9,235,"May 7, 1955",us,7,Central Michigan University
1985,4,CLE,Campy Russell,SF,6-8,215,"January 12, 1952",us,8,Michigan
1985,8,CLE,Lonnie Shelton,PF,6-8,240,"October 19, 1955",us,8,Oregon State
1985,10,CLE,Robert Smith,PG,5-11,165,"March 10, 1955",us,6,UNLV
1985,33,CLE,Paul Thompson,SF,6-6,210,"May 25, 1961",us,1,Tulane
1985,54,CLE,Melvin Turpin,C,6-11,240,"December 28, 1960",us,R,Kentucky
1985,41,CLE,Mark West,C,6-10,230,"November 5, 1960",us,1,Old Dominion
1985,12,CLE,Kevin Williams,SG,6-2,175,"September 11, 1961",us,1,"TCU, St. John's"
1985,22,CLE,Michael Wilson,SG,6-4,175,"September 15, 1959",us,1,Marquette
1985,54,DET,Kent Benson,C,6-10,235,"December 27, 1954",us,7,Indiana
1985,0,DET,Tony Campbell,SF,6-7,215,"May 7, 1962",us,R,Ohio State
1985,23,DET,Earl Cureton,C,6-9,210,"September 3, 1957",us,4,"Robert Morris University (PA), Detroit Mercy"
1985,15,DET,Vinnie Johnson,SG,6-2,200,"September 1, 1956",us,5,Baylor
1985,35,DET,Major Jones,PF,6-9,225,"July 9, 1953",us,5,Albany State University
1985,40,DET,Bill Laimbeer,C,6-11,245,"May 19, 1957",us,4,Notre Dame
1985,25,DET,John Long,SG,6-5,195,"August 28, 1956",us,6,Detroit Mercy
1985,34,DET,Sidney Lowe,PG,6-0,195,"January 21, 1960",us,1,NC State
1985,14,DET,Lorenzo Romar,PG,6-1,175,"November 13, 1958",us,4,Washington
1985,32,DET,Dan Roundfield,PF,6-8,205,"May 26, 1953",us,9,Central Michigan University
1985,31,DET,Brook Steppe,SG,6-5,195,"November 7, 1959",us,2,Georgia Tech
1985,22,DET,Terry Teagle,SG,6-5,195,"April 10, 1960",us,2,Baylor
1985,22,DET,David Thirdkill,SF,6-7,195,"April 12, 1960",us,2,Bradley
1985,11,DET,Isiah Thomas,PG,6-1,180,"April 30, 1961",us,3,Indiana
1985,7,DET,Kelly Tripucka,SF,6-6,220,"February 16, 1959",us,3,Notre Dame
1985,41,DET,Terry Tyler,SF,6-7,215,"October 30, 1956",us,6,Detroit Mercy
1985,31,DET,Dale Wilkinson,PF,6-10,220,"March 18, 1960",us,R,Idaho State University
1985,50,GSW,Chuck Aleksinas,C,6-11,260,"February 26, 1959",us,R,"Kentucky, UConn"
1985,23,GSW,Mike Bratz,PG,6-2,185,"October 17, 1955",us,7,Stanford
1985,15,GSW,Steve Burtt,SG,6-2,185,"November 5, 1962",us,R,Iona College
1985,32,GSW,Lester Conner,PG,6-4,180,"September 17, 1959",us,2,Oregon State
1985,21,GSW,Sleepy Floyd,SG,6-3,170,"March 6, 1960",us,2,Georgetown
1985,43,GSW,Mickey Johnson,PF,6-10,190,"August 31, 1952",us,10,Aurora University
1985,44,GSW,Gary Plummer,PF,6-9,215,"February 21, 1962",us,R,Boston University
1985,45,GSW,Purvis Short,SF,6-7,210,"July 2, 1957",us,6,Jackson State University
1985,13,GSW,Larry Smith,PF,6-8,215,"January 18, 1958",us,4,Alcorn State
1985,20,GSW,Terry Teagle,SG,6-5,195,"April 10, 1960",us,2,Baylor
1985,7,GSW,Peter Thibeaux,SF,6-7,210,"October 3, 1961",us,R,Saint Mary's
1985,33,GSW,Jerome Whitehead,C,6-10,220,"September 30, 1956",us,6,Marquette
1985,11,GSW,Othell Wilson,PG,6-0,190,"October 26, 1961",us,R,Virginia
1985,3,HOU,Craig Ehlo,SG,6-6,180,"August 11, 1961",us,1,"Odessa College, Washington State"
1985,1,HOU,Phil Ford,PG,6-2,175,"February 9, 1956",us,6,UNC
1985,9,HOU,Lionel Hollins,PG,6-3,185,"October 19, 1953",us,9,Arizona State
1985,30,HOU,Allen Leavell,PG,6-1,170,"May 27, 1957",us,5,Oklahoma City University
1985,32,HOU,Lewis Lloyd,SG,6-6,205,"February 22, 1959",us,3,Drake University
1985,5,HOU,John Lucas,PG,6-3,175,"October 31, 1953",us,8,Maryland
1985,22,HOU,Rodney McCray,SF,6-7,220,"August 29, 1961",us,1,Louisville
1985,8,HOU,Hank McDowell,PF,6-9,215,"November 13, 1959",us,3,Memphis
1985,40,HOU,Larry Micheaux,PF,6-9,220,"March 24, 1960",us,1,Houston
1985,34,HOU,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng,R,Houston
1985,43,HOU,Jim Petersen,PF,6-10,235,"February 22, 1962",us,R,Minnesota
1985,33,HOU,Robert Reid,SF,6-8,205,"August 30, 1955",us,6,St. Mary's University
1985,50,HOU,Ralph Sampson,PF,7-4,228,"July 7, 1960",us,1,Virginia
1985,15,HOU,Mitchell Wiggins,SG,6-4,185,"September 28, 1959",us,1,"Clemson, Florida State"
1985,33,LAL,Kareem Abdul-Jabbar,C,7-2,225,"April 16, 1947",us,15,UCLA
1985,21,LAL,Michael Cooper,SG,6-7,170,"April 15, 1956",us,6,New Mexico
1985,32,LAL,Magic Johnson,PG,6-9,215,"August 14, 1959",us,5,Michigan State
1985,1,LAL,Earl Jones,C,7-0,210,"January 13, 1961",us,R,University of the District of Columbia
1985,25,LAL,Mitch Kupchak,PF,6-9,230,"May 24, 1954",us,7,UNC
1985,12,LAL,Ronnie Lester,PG,6-2,175,"January 1, 1959",us,4,Iowa
1985,11,LAL,Bob McAdoo,C,6-9,210,"September 25, 1951",us,12,"Vincennes University, UNC"
1985,40,LAL,Mike McGee,SF,6-5,190,"July 29, 1959",us,3,Michigan
1985,43,LAL,Chuck Nevitt,C,7-5,217,"June 13, 1959",us,1,NC State
1985,31,LAL,Kurt Rambis,PF,6-8,213,"February 25, 1958",us,3,Santa Clara
1985,4,LAL,Byron Scott,SG,6-3,195,"March 28, 1961",us,1,Arizona State
1985,35,LAL,Larry Spriggs,PF,6-7,230,"September 8, 1959",us,3,Howard University
1985,52,LAL,Jamaal Wilkes,SF,6-6,190,"May 2, 1953",us,10,UCLA
1985,42,LAL,James Worthy,SF,6-9,225,"February 27, 1961",us,2,UNC
1985,45,MIL,Randy Breuer,C,7-3,230,"October 11, 1960",us,1,Minnesota
1985,34,MIL,Terry Cummings,PF,6-9,220,"March 15, 1961",us,2,DePaul
1985,24,MIL,Charles Davis,SF,6-7,215,"October 5, 1958",us,3,Vanderbilt
1985,10,MIL,Mike Dunleavy,PG,6-3,180,"March 21, 1954",us,8,South Carolina
1985,50,MIL,Chris Engler,C,6-11,245,"March 1, 1959",us,2,"Minnesota, Wyoming"
1985,7,MIL,Kenny Fields,SF,6-5,220,"February 9, 1962",us,R,UCLA
1985,35,MIL,Kevin Grevey,SF,6-5,210,"May 12, 1953",us,9,Kentucky
1985,15,MIL,Craig Hodges,SG,6-2,190,"June 27, 1960",us,2,Cal State Long Beach
1985,53,MIL,Alton Lister,C,7-0,240,"October 1, 1958",us,3,Arizona State
1985,40,MIL,Larry Micheaux,PF,6-9,220,"March 24, 1960",us,1,Houston
1985,44,MIL,Paul Mokeski,C,7-0,250,"January 3, 1957",us,5,Kansas
1985,4,MIL,Sidney Moncrief,PG,6-4,180,"September 21, 1957",us,5,Arkansas
1985,22,MIL,Ricky Pierce,SG,6-4,205,"August 19, 1959",us,2,Rice University
1985,25,MIL,Paul Pressey,SF,6-5,185,"December 24, 1958",us,2,"Western Texas College, Tulsa"
1985,5,MIL,Lorenzo Romar,PG,6-1,175,"November 13, 1958",us,4,Washington
1985,21,MIL,David Thirdkill,SF,6-7,195,"April 12, 1960",us,2,Bradley
1985,6,MIL,Paul Thompson,SF,6-6,210,"May 25, 1961",us,1,Tulane
1985,43,MIL,Mark West,C,6-10,230,"November 5, 1960",us,1,Old Dominion
1985,20,NYK,James Bailey,PF,6-9,220,"May 21, 1957",us,5,Rutgers University
1985,1,NYK,Ken Bannister,PF,6-9,235,"April 1, 1960",us,R,"Indiana State University, Saint Augustine's College"
1985,7,NYK,Butch Carter,SG,6-5,180,"June 11, 1958",us,4,Indiana
1985,8,NYK,Ron Cavenall,C,7-1,230,"April 30, 1959",us,R,Texas Southern
1985,42,NYK,Pat Cummings,C,6-9,230,"July 11, 1956",us,5,Cincinnati
1985,18,NYK,Ernie Grunfeld,SF,6-6,210,"April 24, 1955",ro,7,Tennessee
1985,30,NYK,Bernard King,SF,6-7,205,"December 4, 1956",us,7,Tennessee
1985,55,NYK,Louis Orr,PF,6-8,175,"May 7, 1958",us,4,Syracuse
1985,21,NYK,Truck Robinson,PF,6-7,225,"October 4, 1951",us,10,Tennessee State
1985,2,NYK,Rory Sparrow,PG,6-2,175,"June 12, 1958",us,4,Villanova
1985,6,NYK,Trent Tucker,SG,6-5,193,"December 20, 1959",us,2,Minnesota
